case_id,faa_ors_id,faa_asn_id,usgs_project_id,eia_id,state,county,project_name,project_year,project_turbine_count,wind_capacity_mw,turbine_manufacturer,turbine_model,turbine_capacity_kw,turbine_hub_height_m,turbine_rotor_diameter_m,turbine_rotor_swept_area_m2,turbine_total_tip_height_m,turbine_retrofit_flag,turbine_retrofit_year,offshore_flag,attribute_confidence,location_confidence,image_date,image_source,longitude,latitude,fips,zip_code
3073305,,,6054.0,50754.0,CA,kern,Oak Creek Energy Systems,1982.0,11,4.923,Vestas,V7,65.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.354416,35.035809,06029,93501
3073292,,,6012.0,50754.0,CA,kern,Oak Creek Energy Systems,1999.0,11,4.923,NEG Micon,NM52,800.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.366486,35.042625,06029,93501
3073308,,,6050.0,50754.0,CA,kern,Oak Creek Energy Systems,1997.0,11,4.923,NEG Micon,NM44,600.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.353386,35.034424,06029,93501
3040009,06-023356,2011-WTW-11710-OE,16304.0,58113.0,CA,riverside,Robertsons Ready Mix,2012.0,2,3.2,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,0,,0,3,3,3/22/2021,Maxar,-116.811386,33.914597,06065,92220
3040010,06-023374,2011-WTW-11711-OE,16307.0,58113.0,CA,riverside,Robertsons Ready Mix,2012.0,2,3.2,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,0,,0,3,3,3/22/2021,Maxar,-116.815086,33.917194,06065,92220
3041123,06-022548,2011-WTW-4758-OE,11948.0,57626.0,CA,san joaquin,Safeway Tracy,2011.0,2,2.0,Mitsubishi,MWT62/1.0,1000.0,55.0,61.4,2960.92,85.6,0,,0,3,3,1/1/2012,NAIP,-121.521889,37.714294,06077,95377
3072488,06-021758,2011-WTW-4759-OE,11947.0,57626.0,CA,san joaquin,Safeway Tracy,2011.0,2,2.0,Mitsubishi,MWT62/1.0,1000.0,55.0,61.4,2960.92,85.6,0,,0,3,3,6/15/2017,Maxar,-121.520927,37.71344,06077,95377
3087838,06-213829,2017-WTW-8753-OE,,65525.0,CA,monterey,Salinas Valley State Prison,2018.0,1,1.7,GE Wind,GE1.7-100,1700.0,80.0,100.0,7853.98,130.1,0,,0,3,3,10/13/2018,Maxar,-121.37075,36.474236,06053,93960
3074134,,,,,CA,los angeles,San Clemente Island,1999.0,3,0.675,NEG Micon,NM225/30,225.0,30.0,30.0,706.86,45.0,0,,0,3,3,1/26/2018,Maxar,-118.551636,32.985569,06037,00nan
3074133,,,,,CA,los angeles,San Clemente Island,1998.0,3,0.675,NEG Micon,NM225/30,225.0,30.0,30.0,706.86,45.0,0,,0,3,3,1/26/2018,Maxar,-118.55278,32.987331,06037,00nan
3074135,,,,,CA,los angeles,San Clemente Island,1998.0,3,0.675,NEG Micon,NM225/30,225.0,30.0,30.0,706.86,45.0,0,,0,3,3,1/26/2018,Maxar,-118.552109,32.986084,06037,00nan
3063129,06-002706,2003-AWP-4026-OE,13648.0,50276.0,CA,riverside,San Gorgonio Wind Associates 7,1986.0,2,1.32,Vestas,V47,1000.0,60.0,47.0,1734.94,83.5,0,,0,2,3,6/21/2022,Maxar,-116.58709,33.921494,06065,92258
3062900,06-002705,2003-AWP-4025-OE,13652.0,50276.0,CA,riverside,San Gorgonio Wind Associates 7,1986.0,2,1.32,Vestas,V47,1000.0,60.0,47.0,1734.94,83.5,0,,0,2,3,6/21/2022,Maxar,-116.58709,33.922096,06065,92258
3067260,06-160762,2016-WTW-9477-OE,,61067.0,CA,monterey,Scheid Vineyards,2017.0,1,1.85,GE Wind,GE1.85-82.5,1850.0,80.0,82.5,5345.62,121.3,0,,0,3,3,7/18/2017,Maxar,-121.191589,36.274509,06053,93927
3005277,,,6885.0,,CA,kern,Sky River,1991.0,1,0.225,Vestas,V27,225.0,,27.0,572.56,,0,,0,2,3,8/27/2018,Maxar,-118.25499,35.076496,06029,93501
3044371,06-023355,2012-WTW-5420-OE,12317.0,58104.0,CA,solano,Superior Farms,2012.0,1,1.0,Mitsubishi,MWT62/1.0,1000.0,55.0,61.4,2960.92,85.6,0,,0,3,3,8/21/2020,Maxar,-121.81749,38.420094,06095,95620
