outcome,blocks,term,coef,se,pval,nobs,rsquared
y_storage,education+housing_structure+housing_value+tenure+utility_fe,pct_asian,-1.1953429785471266,0.14581370831034324,2.4494690144038076e-16,1283,0.2765041724095372
y_storage,county_fe+education+housing_structure+housing_value+tenure,log_median_household_income,0.3875575256561127,0.15659510591763506,0.013327277620104973,1382,0.4798784230780848
y_storage,county_fe+education+housing_structure+housing_value+tenure,pct_black,-0.09487002775589953,0.28720173935565785,0.7411541070561756,1382,0.4798784230780848
y_storage,county_fe+education+housing_structure+housing_value+tenure,pct_hispanic,-0.5732277871907705,0.18628225004482032,0.002089548730440709,1382,0.4798784230780848
y_storage,county_fe+education+housing_structure+housing_value+tenure,pct_asian,-0.6906948000466863,0.1544152414736133,7.714046931415755e-06,1382,0.4798784230780848
y_chargers,none,log_median_household_income,0.16430725828714546,0.09766053504812754,0.09248500337879227,1390,0.07927303864934776
y_chargers,none,pct_black,-0.006876953067918824,0.34328856298249427,0.9840173885805512,1390,0.07927303864934776
y_chargers,none,pct_hispanic,-0.3989838367835796,0.10467713675458969,0.00013808905958311217,1390,0.07927303864934776
y_chargers,none,pct_asian,0.41029969285916457,0.14647789709112766,0.005092824403136925,1390,0.07927303864934776
y_chargers,education,log_median_household_income,-0.4708717757113068,0.1121993205679496,2.707802405736166e-05,1390,0.1606224756881186
y_chargers,education,pct_black,0.21486355874691032,0.3394421388379117,0.5267400207527466,1390,0.1606224756881186
y_chargers,education,pct_hispanic,0.4391336516393116,0.1329001289807352,0.0009523495775325658,1390,0.1606224756881186
y_chargers,education,pct_asian,0.24835032317383646,0.1351026507453944,0.06602789131862667,1390,0.1606224756881186
y_chargers,housing_value,log_median_household_income,-0.1859240087541505,0.1223898125832665,0.12873394523502238,1382,0.10981626390173116
y_chargers,housing_value,pct_black,0.033859112027260885,0.3452429042103532,0.9218740862585404,1382,0.10981626390173116
y_chargers,housing_value,pct_hispanic,-0.25073783244944986,0.10393570801296413,0.015846491216986357,1382,0.10981626390173116
y_chargers,housing_value,pct_asian,0.3400923856454456,0.14892892784549713,0.02239572678741527,1382,0.10981626390173116
y_chargers,housing_structure,log_median_household_income,0.31112721581126135,0.10133553992783129,0.002138671203613881,1390,0.19468866045007094
y_chargers,housing_structure,pct_black,-0.5792418580677685,0.38147958389200365,0.12891144009166314,1390,0.19468866045007094
y_chargers,housing_structure,pct_hispanic,-0.2721540218766497,0.10063543561815538,0.006843697056884857,1390,0.19468866045007094
y_chargers,housing_structure,pct_asian,-0.03087389508769789,0.1311660719906783,0.8139136594468808,1390,0.19468866045007094
y_chargers,tenure,log_median_household_income,0.41738125586339586,0.09741584934085538,1.8312482589180243e-05,1390,0.18013681592347375
y_chargers,tenure,pct_black,-0.47472563053537864,0.3718068063772881,0.20167030100078842,1390,0.18013681592347375
y_chargers,tenure,pct_hispanic,-0.5139527587009668,0.09811931557788788,1.622921574196206e-07,1390,0.18013681592347375
y_chargers,tenure,pct_asian,0.009517954278104866,0.13640009002338133,0.9443690228336826,1390,0.18013681592347375
y_chargers,utility_fe,log_median_household_income,0.17751162879547921,0.10372631749734684,0.08701724112378424,1291,0.0720919748067338
y_chargers,utility_fe,pct_black,-0.14400683614412033,0.35931143572066554,0.6885780087648264,1291,0.0720919748067338
y_chargers,utility_fe,pct_hispanic,-0.37320087059556173,0.11364502859376381,0.0010237497420961727,1291,0.0720919748067338
y_chargers,utility_fe,pct_asian,0.36801135457395573,0.15115666157344268,0.014906802830729513,1291,0.0720919748067338
y_chargers,county_fe,log_median_household_income,0.047037334734395225,0.1101444131262793,0.6693418313544239,1390,0.1502991474944636
y_chargers,county_fe,pct_black,0.21187255476674574,0.37540127319965855,0.5724890507407554,1390,0.1502991474944636
y_chargers,county_fe,pct_hispanic,-0.6114248409092443,0.1244614124590937,8.98923383550186e-07,1390,0.1502991474944636
y_chargers,county_fe,pct_asian,0.2758873572914303,0.17098275123670287,0.1066274321514231,1390,0.1502991474944636
y_chargers,education+housing_value,log_median_household_income,-0.5069257129025792,0.12024210975119251,2.488114807031545e-05,1382,0.16097550695224194
y_chargers,education+housing_value,pct_black,0.2306734263209255,0.3387461927705363,0.4958952713041279,1382,0.16097550695224194
