n_pc,k,explained_variance,silhouette,calinski_harabasz,davies_bouldin,inertia,silhouette_rank,calinski_rank,davies_rank,explained_rank,complexity_rank,composite_rank
10,2,0.7309598693224343,0.1878085381480676,291.69674993521363,1.8772002660800111,30276.271124581,33.0,23.0,46.0,15.0,22.0,30.2
10,7,0.7309598693224343,0.1931752591261382,229.25268219730935,1.3487036749992398,18377.852449682832,30.0,37.0,27.0,15.0,37.0,30.349999999999998
12,5,0.7844301806036219,0.19254451412475088,209.5633143045836,1.319643522570344,24501.521060569903,31.0,41.0,25.0,8.0,37.0,30.6
10,3,0.7309598693224343,0.18171220965927015,258.82530511818175,1.7228294499198291,26684.950360719944,35.0,31.0,43.0,15.0,25.0,32.6
12,2,0.7844301806036219,0.17958144574851836,268.09086791186024,1.9427970496095106,32953.601882811156,38.0,28.0,48.0,8.0,28.0,33.5
12,7,0.7844301806036219,0.18263675174760646,200.52068703901733,1.419988202855064,21035.88091030953,34.0,43.0,34.0,8.0,43.0,34.55
10,8,0.7309598693224343,0.16664854671700716,220.63748427544851,1.3196643334039826,17311.380797955317,42.0,38.0,26.0,15.0,40.0,34.9
12,6,0.7844301806036219,0.18126198495844015,203.2090672634275,1.4319330978985647,22681.99332912657,36.0,42.0,35.0,8.0,40.0,34.900000000000006
12,3,0.7844301806036219,0.17647962044905854,235.16826332066367,1.7750504595497467,29365.694426434675,40.0,34.0,44.0,8.0,31.0,35.2
12,4,0.7844301806036219,0.17465836201911814,213.36014313934655,1.441790578717899,26903.207003099014,41.0,39.0,36.0,8.0,34.0,35.5
15,5,0.8515591030193849,0.17909330106607127,184.7997921008892,1.4085155388301906,27837.555204548422,39.0,46.0,32.0,1.0,45.0,36.15
15,2,0.8515591030193849,0.16552101871594072,243.28820580229183,2.0462958020251953,36316.877921657724,43.0,32.0,49.0,1.0,37.0,36.65
15,4,0.8515591030193849,0.16302015341552115,190.15335546404748,1.5143091848689838,30243.446235070936,44.0,45.0,40.0,1.0,43.0,39.05
12,8,0.7844301806036219,0.15164595012343166,191.81504707528543,1.4175902622294367,19952.34353418126,48.0,44.0,33.0,8.0,45.0,39.699999999999996
15,3,0.8515591030193849,0.15889427032855835,211.69193499747286,1.920240266084399,32704.742045657076,47.0,40.0,47.0,1.0,40.0,39.95
15,6,0.8515591030193849,0.15941311688884827,174.80275646325433,1.4715746039277013,26170.298395837955,46.0,47.0,37.0,1.0,47.0,40.050000000000004
15,7,0.8515591030193849,0.1620490525580865,173.11334008379268,1.5129186120450557,24385.46373468206,45.0,48.0,39.0,1.0,48.0,40.45
15,8,0.8515591030193849,0.12713195010665196,165.26679569944235,1.4894802255271022,23244.0961037256,49.0,49.0,38.0,1.0,49.0,42.0
