OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
2371,G0076,Sacramento Campbell Soup SPA,0,Sacramento Municipal Utility District (SMUD),Sacramento,173.9,"Unit CT, Unit ST",NG,12/1/1997 12:00:00 AM,1,-121.473979743,38.511153612
2372,G0085,Carson Ice CG,0,Central Valley Financing,Sacramento,119.5,"Unit 1, Unit 2, Unit CT",NG,10/1/1995 12:00:00 AM,0,-121.462345728,38.445784255
2373,G0467,Sacramento SCA,0,Sacramento Municipal Utility District (SMUD),Sacramento,193.4,"CCST, CT1A, CT1B, CT1C",NG,3/1/1997 12:00:00 AM,1,-121.399838209,38.5308345500001
2374,S0090,Hedge PV (S0090),0,Sacramento Municipal Utility District (SMUD),Sacramento,0.2,1,SUN,6/1/1994 12:00:00 AM,0,-121.354054246,38.5051767420001
2375,S0280,RE Dillard Road 1,0,Canadian Solar,Sacramento,3.99,1,SUN,1/1/2012 12:00:00 AM,0,-121.182603829,38.4699865420001
2376,S0281,RE Dillard Road 2,0,Canadian Solar,Sacramento,3.99,1,SUN,1/1/2012 12:00:00 AM,0,-121.17759805,38.4668329360001
2377,S0282,RE Dillard Road 3,0,Canadian Solar,Sacramento,3.99,1,SUN,1/1/2012 12:00:00 AM,0,-121.182389072,38.4639549240001
2378,S0283,RE Dillard Road 4,0,Canadian Solar,Sacramento,0.53,1,SUN,1/1/2012 12:00:00 AM,0,-121.180168633,38.462799455
2379,S9097,FAA Norcal TRACON,0,Not Available,Sacramento,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.259056255,38.5613404590001
2380,E0203,Kiefer Landfill Gas-to-Energy Facility,0,County of Sacramento Department of Waste Management & Recycling,Sacramento,9.15,"1, 2, 3",LFG,12/1/1999 12:00:00 AM,0,-121.19256973,38.514904658
2381,E0305,Kiefer Landfill Phase II (KLG2),0,County of Sacramento,Sacramento,6,"Unit 4, Unit 5",LFG,3/1/2006 12:00:00 AM,0,-121.192549808,38.5146778590001
