OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
2913,S0578,Freeway Springs,0,Golden Solar LLC (Dulles),Los Angeles,2,Unit 1,SUN,10/31/2016 12:00:00 AM,0,-118.049883755,33.91085672
2914,G0011,Alamitos,0,AES Alamitos LLC,Los Angeles,1135.27,"AL 1, AL 2, AL 3, AL 4, AL 5, AL 6, AL 7",NG,9/1/1956 12:00:00 AM,0,-118.101142893,33.769289686
2915,G0054,Biola University,0,Biola University,Los Angeles,3.94,"EG1, EG2, EG3",NG,4/1/1990 12:00:00 AM,0,-118.012995009,33.9070098350001
2916,G0249,Haynes Generating Station,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,1730.34,"Unit #1, Unit #10, Unit #11, Unit #12, Unit #13, Unit #14, Unit #15, Unit #16, Unit #2, Unit #3, Unit #4, Unit #5, Unit #6, Unit #8, Unit #9",NG,9/1/1962 12:00:00 AM,0,-118.099297325,33.764819082
2917,G1077,Stanton Energy Reliability Center,0,Wellhead Services Inc,Orange,121,"GT1, GT2",NG,7/1/2020 12:00:00 AM,1,-117.986841538,33.8068700650001
2918,G0642,Unocal Fred L Hartley Research Center (Retired 12/31/2001),1,Tosco Corporation,Orange,4,2382,NG,12/1/1991 12:00:00 AM,0,-117.849906133,33.9151210960001
2919,H0539,Valley View,0,Metropolitan Water District,Orange,4.1,1,WAT,8/1/1985 12:00:00 AM,0,-117.829306076,33.900014029
2920,H0577,Yorba Linda,0,Metropolitan Water District,Orange,5.09,1,WAT,8/1/1981 12:00:00 AM,0,-117.81942335,33.9113378690001
2921,E0249,Brea Expansion Plant - Brea Power II LLC,0,Brea Parent 2007 LLC c/o Broadrock Renewables LLC,Orange,32.81,5-Jan,LFG,11/1/2012 12:00:00 AM,0,-117.840834814,33.9324002930001
2922,E0109,Brea Power Partners LP (Retired 9/25/2019),1,Ridgewood Power Management LLC,Orange,5.6,Gen 1-3,LFG,12/1/1985 12:00:00 AM,0,-117.839786926,33.9319154510001
2923,G0026,Anaheim CT (Retired 12/31/2019),1,Southern California Public Power Authority (SCPPA),Orange,49.27,1,NG,4/1/1991 12:00:00 AM,0,-117.855971679,33.8536487750001
2924,G0058,Canyon Power Plant,0,Southern California Public Power Authority (SCPPA),Orange,200.48,"ANAHM_2 CTG 1, ANAHM_2 CTG 2, ANAHM_2 CTG 3, ANAHM_2 CTG 4",NG,9/15/2011 12:00:00 AM,1,-117.862135004,33.8585149510001
2925,G0804,Linn Western Processing Generating Facility (Blacksand),0,"Bridge Energy, LLC",Orange,16.33,"1, 182, 183, 190",NG,6/6/2002 12:00:00 AM,0,-117.855938302,33.932992406
2926,F0003,UCI Fuel Cell (Retired 8-12-2023),1,Fuel Cell Energy,Orange,1.4,MB16,NG,12/15/2015 12:00:00 AM,0,-117.888414894,33.7869241540001
2927,G0923,Clearwater,0,City of Riverside Public Utilities Department,Riverside,49,"CT1, ST1",NG,3/1/2005 12:00:00 AM,0,-117.608290146,33.891197058
2928,H0114,Corona,0,Metropolitan Water District,Riverside,2.85,1,WAT,5/1/1983 12:00:00 AM,0,-117.610789116,33.8590956990001
2929,S0379,SCE - Corona,0,EDP Renewables North America LLC,Riverside,0.99,1,SUN,4/15/2013 12:00:00 AM,0,-117.588134746,33.892095295
2930,G0149,Corona Cogen (Retired),1,WCAC Operating Company,Riverside,47,Unit 1,NG,6/1/1988 12:00:00 AM,0,-117.580332447,33.8917929460001
2931,H0282,Lake Mathews,0,Metropolitan Water District,Riverside,4.9,1,WAT,5/1/1980 12:00:00 AM,0,-117.453662798,33.8552141480001
2932,H0509,Temescal,0,Metropolitan Water District,Riverside,2.85,1,WAT,4/1/1983 12:00:00 AM,0,-117.497051781,33.8342297350001
2933,S0133,Temescal Canyon RV  LLC,0,Temescal Canyon RV LLC,Riverside,1.5,1,SUN,5/17/2011 12:00:00 AM,0,-117.511558083,33.827804815
2934,E0139,Corona Landfill - Retired Dec 2004,1,NEO Corporation,Riverside,0.6,UNT1,LFG,1/1/1991 12:00:00 AM,0,-117.539142857,33.8666557710001
2935,E0207,El Sobrante Landfill (Retired 9/30/2016),1,WM Energy Solutions Inc,Riverside,4.05,"1, 2, 3",LFG,12/1/2004 12:00:00 AM,0,-117.474835881,33.793795921
2936,G0912,Springs Generation Project,0,City of Riverside Public Utilities Department,Riverside,40,"1, 2, 3, 4",NG,7/17/2002 12:00:00 AM,0,-117.293505554,33.930183202
2937,S0202,SPVP044 Perris (Valley),0,Southern California Edison (SCE),Riverside,10.15,1,SUN,9/14/2012 12:00:00 AM,0,-117.222940893,33.838925912
2938,S0364,Walgreens - Moreno Valley,0,EDP Renewables North America LLC,Riverside,1,1,SUN,9/26/2007 12:00:00 AM,0,-117.221226116,33.866002268
2939,S0441,Park Meridian,0,Altus Power,Riverside,1.49,PM,SUN,3/26/2015 12:00:00 AM,0,-117.2836559,33.896466118
2940,H0382,Perris,0,Metropolitan Water District,Riverside,7.94,1,WAT,2/1/1983 12:00:00 AM,0,-117.183180181,33.8360512830001
2941,S0416,Tahquitz High School,0,S-Power (Sustainable Power Group),Riverside,1,1,SUN,9/1/2012 12:00:00 AM,0,-117.0195006,33.768794509
2942,W0401,Robertsons Ready-Mix,0,Foundation Windpower,Riverside,2,WPRS 1,WND,12/1/2012 12:00:00 AM,0,-116.814625843,33.9171057660001
2943,H0136,Whitewater Hydroelectric Plant,0,Desert Water Agency,Riverside,1.38,WWH1,WAT,3/1/1986 12:00:00 AM,0,-116.640558031,33.9347027040001
2944,W0258,"Cabazon Wind Partners, LLC",0,Not Available,Riverside,40.92,WPRS 1,WND,12/3/1984 12:00:00 AM,0,-116.710544804,33.9150639850001
2945,W0260,Mesa Wind Power Corporation,0,Mesa Wind Power Corporation,Riverside,29.9,WPRS 1,WND,11/29/1984 12:00:00 AM,0,-116.676721479,33.946957395
2946,W0268,Windparks Unlimited 1 and 2 (retired 11/30/2019),1,EUI Management PH Inc,Riverside,25.24,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.623460477,33.942117496
2947,W0292,Altech III (NAWP Inc. - 6087) (retired 9/30/2019),1,Seawest Energy Group,Riverside,25.15,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.736231031,33.9128243110001
2948,W0382,Alta Mesa Phase III - In Litigation - No reporting,0,See WPRS for details,Riverside,9.5,WPRS 1,WND,1/1/1997 12:00:00 AM,0,-116.663302446,33.9450114140001
2949,W0402,Nestle Waters,0,Foundation Windpower,Riverside,3.24,WPRS 1,WND,12/1/2012 12:00:00 AM,0,-116.751671936,33.9177389160001
2950,W0452,Cabazon Wind,0,See WPRS for details,Riverside,38.85,WPRS 1,WND,12/3/1984 12:00:00 AM,0,-116.718346588,33.914878964
2951,S0250,North Palm Springs 1A,0,Solar Power Inc,Riverside,2.8,1,SUN,4/2/2012 12:00:00 AM,0,-116.595189548,33.923234338
2952,S0251,North Palm Springs 4A,0,Solar Power Inc,Riverside,4.9,1,SUN,11/2/2012 12:00:00 AM,0,-116.562396592,33.909299462
2953,S0363,Palm Springs SD - Cathedral City HS,0,EDP Renewables North America LLC,Riverside,1,1,SUN,8/9/2013 12:00:00 AM,0,-116.450056258,33.8027440110001
2954,S0365,Palm Springs SD - Palm Springs HS,0,EDP Renewables North America LLC,Riverside,1.02,1,SUN,8/28/2013 12:00:00 AM,0,-116.520793566,33.8190428680001
2955,S9401,Garnet Solar Power Generation Station 1,0,Not Available,Riverside,4,1,SUN,12/1/2014 12:00:00 AM,0,-116.544000718,33.8929450040001
2956,S0640,Desert Hot Springs 2,0,Not Available,Riverside,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-116.530127229,33.922988919
2957,G0119,Municipal Cogeneration Plant (Palm Springs),0,City of Palm Springs,Riverside,1.13,"GEN1, GEN2, Unit 1",NG,6/1/1985 12:00:00 AM,0,-116.511096546,33.824959386
2958,G0512,Sentinel Energy Center,0,DGC Operations LLC,Riverside,800,"1, 2, 3, 4, 5, 6, 7, 8",NG,5/10/2013 12:00:00 AM,1,-116.572586428,33.936540715
2959,G0818,Indigo Generation LLC,0,Diamond Generating Corporation,Riverside,135,"Indigo1, Indigo2, Indigo3",NG,7/26/2001 12:00:00 AM,1,-116.552979525,33.9112510040001
2960,W0261,San Gorgonio Farms Wind Farm,0,San Gorgornio Farms Inc,Riverside,30.9,WPRS 1,WND,3/1/1983 12:00:00 AM,0,-116.614712854,33.927413857
2961,W0277,Phoenix Wind (Section 20 Trust),0,Seawest Energy Group,Riverside,2.1,WPRS 1,WND,1/10/1985 12:00:00 AM,0,-116.570554692,33.9393802860001
2962,W0278,East Winds Project (NAWP Inc),0,Seawest Energy Group,Riverside,3,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.548066171,33.891719483
2963,W0283,San Gorgonio Westwinds II,0,Terra-Gen Operating Company,Riverside,43.4,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.583257392,33.9353677190001
2964,W0286,Karen Avenue Wind Farm,0,San Gorgornio Farms Inc,Riverside,11.7,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.56076177,33.9219458380001
2965,W0299,Green Power I (Dutch Energy Corp) (retired May 2022),0,Seawest Energy Group,Riverside,16.2,WPRS 1,WND,4/13/1990 12:00:00 AM,0,-116.595767301,33.909188285
2966,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112) (retired 11/30/2019),1,Not Available,Riverside,19.17,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.618229405,33.9387156490001
2967,W0318,"Wintec Energy, Ltd.",1,Windpower Partners 1993 LP,Riverside,2.18,WPRS 1,WND,12/22/1986 12:00:00 AM,0,-116.56695025,33.9110582590001
2968,W0360,Mountain View III,0,See WPRS for details,Riverside,22.44,WPRS 1,WND,12/15/2003 12:00:00 AM,0,-116.591444945,33.918562788
2969,W0361,"Whitewater Hill Partners, LLC",0,Terra-Gen Operating Company,Riverside,61.5,WPRS 1,WND,8/31/2002 12:00:00 AM,0,-116.623103702,33.9222097680001
2970,W0364,Dillon Wind,0,FPL Energy Operating Services Inc,Riverside,45,WPRS 1,WND,4/18/2008 12:00:00 AM,0,-116.587362183,33.9385452240001
2971,W0365,Difwind Farms LTD I (retired 3/31/2019),1,FPL Energy Operating Services Inc,Riverside,7.24,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.568109444,33.8967860860001
2972,W0366,Difwind Farms LTD II (retired 3/31/2019),1,FPL Energy Operating Services Inc,Riverside,5.36,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.564034094,33.899980412
2973,W0386,Difwind Farms LTD V (retired 12/31/2019),1,Difwinds Farm Ltd V,Riverside,11.56,WPRS 1,WND,3/31/2005 12:00:00 AM,0,-116.572914591,33.9303464400001
2974,W0391,"Edom Hills Project 1, LLC",0,BP Wind Energy North America,Riverside,20,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.459631413,33.885205114
2975,W0413,"WAGNER WIND, LLC",0,See WPRS for details,Riverside,6,WPRS 1,WND,7/30/2013 12:00:00 AM,0,-116.555823777,33.909701166
2976,W0430,Mountain View IV,0,See WPRS for details,Riverside,49,WPRS 1,WND,12/31/1989 12:00:00 AM,0,-116.562557515,33.8823783990001
2977,W0437,Wintec Energy #2-A,0,See WPRS for details,Riverside,1.32,WPRS 1,WND,2/23/2012 12:00:00 AM,0,-116.560631692,33.9133543890001
2978,W0439,Dutch Energy Wind Farm (retired 1/24/2020),1,See WPRS for details,Riverside,9.5,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.560254917,33.8916430960001
2979,W0440,Garnet Wind Energy Center,0,See WPRS for details,Riverside,6.5,WPRS 1,WND,6/2/2009 12:00:00 AM,0,-116.582376721,33.90752136
2980,W0447,San Gorgonio Wind,0,See WPRS for details,Riverside,49.5,WPRS 1,WND,12/31/1989 12:00:00 AM,0,-116.550649958,33.916714201
2981,W0450,Mountain View I (Retired 12/3/2021),1,S-Power (Sustainable Power Group),Riverside,44.4,WPRS 1,WND,3/24/2001 12:00:00 AM,0,-116.573192123,33.9229931520001
2982,W0451,Mountain View II (Retired 12/3/2021),1,See WPRS for details,Riverside,22.2,WPRS 1,WND,9/17/2001 12:00:00 AM,0,-116.573702203,33.916981084
2983,W0300,"Westwind Partners, LLC (ENXCO) - Decommissioned 7/1/2016",1,Westwind Association,Riverside,9.08,WPRS 1,WND,1/1/1983 12:00:00 AM,0,-116.567514805,33.9456280110001
2984,W0478,"Painted Hills Wind Holdings, LLC",0,"Terra-Gen, LLC",Riverside,46.8,WPRS 1,WND,3/17/2021 12:00:00 AM,0,-116.543666116,33.907882065
2985,W0479,"Coachella Wind Holdings, LLC",0,"Terra-Gen, LLC",Riverside,61.2,WPRS 1,WND,3/31/2021 12:00:00 AM,0,-116.543666116,33.907882065
2986,S0367,Palm Springs SD - Rancho Mirage HS,0,EDP Renewables North America LLC,Riverside,1,1,SUN,8/28/2013 12:00:00 AM,0,-116.433669096,33.823610387
2987,S0256,Desert Sunlight 250,0,Desert Sunlight 250 LLC,Riverside,115.92,DSL250,SUN,12/25/2013 12:00:00 AM,0,-115.403544769,33.8114453540001
2988,S0257,Desert Sunlight 300,0,Desert Sunlight 300 LLC,Riverside,192.77,DSL300,SUN,10/15/2013 12:00:00 AM,0,-115.404889881,33.824324892
2989,E0211,Oxnard Wastewater Treatment Plant,0,City of Oxnard Wastewater Division,Ventura,1.5,"7610, 7710, 7810",OBG,8/1/1981 12:00:00 AM,0,-119.184446236,34.141319535
2990,G0421,Ormond Beach Generating Station,0,GenOn Holdings Inc.,Ventura,1612.8,"UNIT 1, UNIT 2",NG,8/3/1971 12:00:00 AM,0,-119.168804653,34.1301561880001
2991,G0677,Oxnard Mill (New-Indy Containerboard),0,New-Indy Oxnard LLC,Ventura,29,921-2015,NG,3/1/1986 12:00:00 AM,0,-119.183653597,34.1415706880001
2992,H0193,Franklin,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,2,Unit 1,WAT,6/3/1921 12:00:00 AM,0,-118.413791449,34.1039955960001
2993,H0466,San Gorgonio 2,0,Southern California Edison (SCE),Riverside,0.94,1,WAT,12/1/1923 12:00:00 AM,0,-118.425296408,34.0088784380001
2994,H0467,Sawtelle,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,1,1,WAT,6/1/1986 12:00:00 AM,0,-118.467286727,34.0718397270001
2995,H0472,Sepulveda Canyon,0,Metropolitan Water District,Los Angeles,8.54,1,WAT,3/1/1982 12:00:00 AM,0,-118.479817213,34.0969732880001
2996,G0582,Saint Johns Health Center (Retired 1/1/2004),1,Saint Johns Health Center,Los Angeles,1.08,TG-1,NG,2/1/1992 12:00:00 AM,0,-118.480192049,34.030412375
2997,G0756,Television City Cogen LP (Retired 2002),1,Television City Cogen LP,Los Angeles,1.4,CBSS,NG,6/1/1984 12:00:00 AM,0,-118.358832414,34.075251918
2998,H0541,Venice,0,Metropolitan Water District,Los Angeles,10.12,1,WAT,5/1/1982 12:00:00 AM,0,-118.416807953,34.0113074380001
2999,S9154,West Los Angeles VA Health Care System,0,Not Available,Los Angeles,9,1,SUN,1/1/2012 12:00:00 AM,0,-118.450477698,34.051525214
3000,S9157,CBS Television City,0,Not Available,Los Angeles,1.84,1,SUN,1/1/2013 12:00:00 AM,0,-118.359677796,34.0747949080001
3001,G0763,UCLA Energy Systems Facility,0,UCLA,Los Angeles,43,"CTG-1, CTG-2, STG-1",NG,1/1/1994 12:00:00 AM,0,-118.44669033,34.06731059
3002,G0588,Coldgen; Sunlaw (Federal Plant) - Retired September 2002,1,Sunlaw Energy Partners I LP,Los Angeles,37,"GEN1, GEN2",NG,8/21/1986 12:00:00 AM,0,-118.217066388,33.9969258560001
3003,G0754,Grogen Sunlaw (Growers),1,Sunlaw Energy Partners I LP,Los Angeles,30,GEN1,NG,6/9/1986 12:00:00 AM,0,-118.207710985,34.005794682
3004,S0183,LA County MTA/Metro,0,LA County MTA/Metro,Los Angeles,1.05,SIP742152,SUN,4/1/2009 12:00:00 AM,0,-118.229206671,34.058514717
3005,S0184,Dependable Highway Express,0,Dependable Highway Express Inc,Los Angeles,1.05,SIP1027942,SUN,3/2/2012 12:00:00 AM,0,-118.224033291,34.02761894
3006,S0369,ELACC - Parking Lot,0,Not Available,Los Angeles,1,1,SUN,3/27/2008 12:00:00 AM,0,-118.148090545,34.0402559120001
3007,S9114,MTA,0,Not Available,Los Angeles,1.2,1,SUN,1/1/2012 12:00:00 AM,0,-118.229401845,34.0572094730001
3008,S9116,Dependable Highway Express Inc,0,Not Available,,1.2,1,SUN,1/1/2012 12:00:00 AM,0,-118.223958818,34.0268971460001
3009,S9156,Occidental College Solar Project,0,Not Available,Los Angeles,1.14,1,SUN,1/1/2013 12:00:00 AM,0,-118.206800342,34.128197748
3010,E0113,"Commerce Refuse To Energy (Retired June 30, 2018)",1,Sanitation Districts of Los Angeles County,Los Angeles,11.5,1,MSW,11/1/1986 12:00:00 AM,0,-118.153779327,33.9948565290001
3011,G0231,Glenarm,0,City of Pasadena,Los Angeles,226.76,"G9, GT 1, GT 2, GT 3, GT 4, GT 5",NG,1/1/1975 12:00:00 AM,0,-118.148730678,34.1266827800001
3012,G0028,Cenveo Anderson Lithograph (Shutdown May 2009),1,Cenveo Corporation,Los Angeles,5.01,"GCTG-1, STG-1",NG,7/19/1995 12:00:00 AM,0,-118.141118568,33.988509433
3013,G0061,Broadway (Retired 12/31/2016),1,City of Pasadena,Los Angeles,165,"B1, B2, B3",NG,3/1/1955 12:00:00 AM,0,-118.147757994,34.126089762
3014,G0145,Smurfit Stone Container Corporation - Retired August 2002,1,Jefferson Smurfit Container Corp,Los Angeles,43.4,1,NG,6/1/1986 12:00:00 AM,0,-118.235028166,33.9913836970001
3015,G0203,NP Cogen Inc - Retired December 2001,1,Newark Pacific Paperboard Corp (NP Cogen Inc),Los Angeles,33,"GNGT, GNST",NG,12/1/1982 12:00:00 AM,0,-118.165551863,33.982172023
3016,G0262,Los Angeles Cold Storage - Retired Dec 2003,1,Los Angeles Cold Storage Company,Los Angeles,1.35,1,NG,8/11/1989 12:00:00 AM,0,-118.239050095,34.043762588
3017,G0652,Vernon (includes H. Gonzales),0,City of Vernon,Los Angeles,41.8,"VER1, VER2, VER3, VER4, VER5, VER6, VER7",OIL,8/1/1933 12:00:00 AM,0,-118.221766598,33.9988249190001
3018,G0758,Civic Center Cogen,0,LA County ISD (Civic Center),Los Angeles,23,"Brush, Fuji",NG,8/1/1988 12:00:00 AM,0,-118.243717899,34.056493183
3019,G0894,Malburg Power Plant,0,Colorado Energy Management LLC (Malburg LLC),Los Angeles,158.8,"M1, M2, M3",NG,10/17/2005 12:00:00 AM,1,-118.220446359,33.9988742620001
3020,H0412,Rio Hondo,0,Metropolitan Water District,Los Angeles,1.91,1,WAT,12/1/1993 12:00:00 AM,0,-118.099258979,34.0047166860001
3021,S0442,Pico Rivera,0,Not Available,Los Angeles,0.9,Unit 1,SUN,11/20/2015 12:00:00 AM,0,-118.103273314,33.982257728
3022,E0127,Puente Hills Energy Recovery,0,Sanitation Districts of Los Angeles County,Los Angeles,50,"GEN 1, GEN 2",LFG,6/1/2017 12:00:00 AM,0,-118.024191305,34.023791762
3023,E0128,Puente Hills Gas-to-Energy Facility  Phase II (Retired 12/31/2016),1,Sanitation Districts of Los Angeles County,Los Angeles,8.1,"Gen-3, Gen-4, Gen-5",LFG,1/1/2006 12:00:00 AM,0,-118.024529667,34.0236632680001
3024,E0261,Whittier LFG Power Plant 1,0,J&A Santa Maria,Los Angeles,2.2,"ENG1, ENG2",LFG,12/1/2006 12:00:00 AM,0,-118.047230113,33.9707088750001
3025,G0757,California Institute of Technology,0,California Institute of Technology,Los Angeles,12.5,"GEN1, GEN2, GEN3, GEN4, GEN5",NG,8/1/2003 12:00:00 AM,0,-118.122353193,34.1400354900001
3026,G0928,Walnut Creek Energy Park,0,Walnut Creek Energy LLC,Los Angeles,500.5,"1, 2, 3, 4, 5",NG,12/29/2012 12:00:00 AM,1,-117.945152284,34.00853347
3027,G1072,"Irwindale Brew Yard LLC (formerly Molson, MillerCoors)",0,"IBY, LLC",Los Angeles,14.23,"D175, D176, S-1, T-100, T-200",OBG,2/1/2006 12:00:00 AM,0,-117.939867804,34.1266691000001
3028,H0437,San Dimas Hydro Recovery Plant,0,Metropolitan Water District,Los Angeles,9.92,1,WAT,3/1/1981 12:00:00 AM,0,-117.79574691,34.1275285510001
3029,H0443,San Dimas Wash,0,San Gabriel Valley Municipal Water District,Los Angeles,1.05,UNIT 1,WAT,3/1/1986 12:00:00 AM,0,-117.805052868,34.124161256
3030,G0437,Paper-Pak Industries (Shutdown 12/31/2008),1,Paper-Pak Industries,Los Angeles,1.4,GEN1,NG,1/1/1984 12:00:00 AM,0,-117.764711273,34.0952988350001
3031,G0562,AltaGas Pomona Energy Inc (cogen prior to 2016) (retired 9/6/2019),1,AltaGas Pomona Energy Inc,Los Angeles,42,1,NG,1/2/1985 12:00:00 AM,0,-117.774077544,34.059034017
3032,G0565,Blue Heron Paper - Retired 2006,1,Blue Heron Paper Co of California,Los Angeles,16.3,Unit 1,NG,12/1/1966 12:00:00 AM,0,-117.784008189,34.059222262
3033,G1042,Pacific Palms Cogeneration (shutdown Dec 2014),1,Intertie,Los Angeles,1.99,1,NG,11/1/2002 12:00:00 AM,0,-117.927704704,34.0208841370001
3034,S0221,Industry MetroLink PV 1,0,Intertie,Los Angeles,1.5,1,SUN,5/1/2012 12:00:00 AM,0,-117.844814941,34.009574921
3035,S0527,Weymouth Solar Plant,0,Metropolitan Water District,Los Angeles,2.99,Unit 1,SUN,6/1/2016 12:00:00 AM,0,-117.783581792,34.107765081
3036,S9258,United States Department of Agriculture  Forest Service,0,Not Available,Los Angeles,0.25,Unit 1,SUN,12/31/2014 12:00:00 AM,0,-117.800387318,34.1058005200001
3037,E0152,MM West Covina LLC,0,OPAL Fuels,Los Angeles,6.8,"GEN1, GEN2",LFG,4/1/1999 12:00:00 AM,0,-117.906155447,34.0335435010001
3038,E0129,"Spadra Landfill Gas to Energy (Retired September 30, 2015)",1,Sanitation Districts of Los Angeles County,Los Angeles,10.6,GEN 1,LFG,4/4/1991 12:00:00 AM,0,-117.821685195,34.0409230650001
3039,S0709,Walnut High,0,Tesla Inc.,Los Angeles,1.23,91714744-CA,SUN,9/30/2019 12:00:00 AM,0,-117.851148358,34.0227049470001
3040,G0415,Black Hills Ontario Facility -Retired February 2009,1,Black Hills Energy Capital,San Bernardino,11.8,"Unit 1, Unit 2",NG,12/1/1984 12:00:00 AM,0,-117.641010256,34.0561415110001
3041,S0118,SPVP002 Chino Rooftop Solar,0,Southern California Edison (SCE),San Bernardino,1.22,1,SUN,10/1/2009 12:00:00 AM,0,-117.700857139,33.9850236
3042,S0199,SPVP032 Ontario - Kennedy 2,0,Southern California Edison (SCE),San Bernardino,1.74,1,SUN,12/22/2011 12:00:00 AM,0,-117.571907086,34.0324546190001
3043,S0210,SS San Antonio West  LLC,0,Not Available,Riverside,1.87,Unit 1,SUN,6/14/2012 12:00:00 AM,0,-117.659051908,33.966779995
3044,S0433,Terra Francesco,0,Kona Solar LLC,San Bernardino,1.49,TF,SUN,3/1/2015 12:00:00 AM,0,-117.605560256,34.0394105560001
3045,G0404,Chino Cogeneration,0,OLS Energy Chino,San Bernardino,31.2,"GEN 1, GEN 2",NG,3/1/1988 12:00:00 AM,0,-117.680842836,33.98954367
3046,G0522,San Antonio Community Hospital,0,San Antonio Community Hospital,San Bernardino,2.7,"Unit 1, Unit 2, Unit 3",NG,1/1/1985 12:00:00 AM,0,-117.638244202,34.102399173
3047,S9412,Jurupa Valley Solar PV,0,Sacramento PV Energy LLC,San Bernardino,1.5,1,SUN,1/3/2014 12:00:00 AM,0,-117.591767387,34.0504843890001
3048,G0922,Riverside Energy Resource Center,0,City of Riverside Public Utilities Department,Riverside,192,"1, 2, 3, 4",NG,6/1/2006 12:00:00 AM,0,-117.452953062,33.96327376
3049,G9333,Etiwanda Peaker,0,Southern California Edison (SCE),San Bernardino,49,1,NG,8/1/2007 12:00:00 AM,0,-117.533887348,34.0904349580001
3050,G9444,Mira Loma Peaker,0,Southern California Edison (SCE),San Bernardino,49,1,NG,8/1/2007 12:00:00 AM,0,-117.56083111,34.0053449170001
3051,H0174,Etiwanda,0,Metropolitan Water District,San Bernardino,23.9,1,WAT,7/1/1994 12:00:00 AM,0,-117.525641546,34.1034159600001
3052,G1035,,1,,,4.3,,,1/1/2000 12:00:00 AM,,-117.455948569,33.9617222700001
3053,S0128,SPVP003 Rialto,0,Southern California Edison (SCE),San Bernardino,1.22,1,SUN,3/1/2011 12:00:00 AM,0,-117.400027544,34.0941725120001
3054,S0136,SPVP006 Ontario,0,Southern California Edison (SCE),San Bernardino,2.55,1,SUN,8/1/2011 12:00:00 AM,0,-117.57131436,34.0416745970001
3055,S0186,SPVP008 Ontario,0,Southern California Edison (SCE),San Bernardino,2.85,1,SUN,12/30/2010 12:00:00 AM,0,-117.565673266,34.042061473
3056,S0187,SPVP009 Ontario,0,Southern California Edison (SCE),San Bernardino,1.41,1,SUN,1/10/2011 12:00:00 AM,0,-117.57057928,34.0429802560001
3057,S0188,SPVP010 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,2.25,1,SUN,5/18/2011 12:00:00 AM,0,-117.517109556,34.0748594560001
3058,S0191,SPVP015 Fontana (Etiwanda) includes SPVP001,0,Southern California Edison (SCE),San Bernardino,4.69,1,SUN,12/29/2010 12:00:00 AM,0,-117.516713129,34.080228461
3059,S0193,SPVP017 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,4.5,1,SUN,12/14/2011 12:00:00 AM,0,-117.512913915,34.073447921
3060,S0194,SPVP018 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,1.94,1,SUN,5/23/2011 12:00:00 AM,0,-117.516630669,34.083996583
3061,S0196,SPVP023 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,3.86,1,SUN,5/12/2011 12:00:00 AM,0,-117.520278542,34.0801525030001
3062,S0197,SPVP026 Rialto,0,Southern California Edison (SCE),San Bernardino,8.6,1,SUN,8/26/2011 12:00:00 AM,0,-117.425342552,34.132376761
3063,S0200,SPVP033 Ontario - Kennedy 3,0,Southern California Edison (SCE),San Bernardino,1.28,1,SUN,12/12/2011 12:00:00 AM,0,-117.568678159,34.0326335710001
3064,S0227,SPVP027 Rialto,0,Southern California Edison (SCE),San Bernardino,2.62,1,SUN,11/27/2012 12:00:00 AM,0,-117.425482942,34.127199166
3065,S0444,Tequesquite Landfill Solar PV Project,0,CD Arevon USA Inc.,Riverside,7.5,Unit 1,SUN,9/9/2015 12:00:00 AM,0,-117.410209783,33.973504002
3066,S0446,Rancho Cucamonga Distribution #1,0,Altus Power,San Bernardino,1.75,Unit 1,SUN,10/21/2014 12:00:00 AM,0,-117.553652352,34.1001061210001
3067,S0447,SunE - Rochester,0,Not Available,San Bernardino,1,Unit 1,SUN,10/16/2015 12:00:00 AM,0,-117.544492243,34.097919608
3068,S0448,SunE - Mira Loma,0,Not Available,Riverside,0.5,Unit 1,SUN,10/16/2015 12:00:00 AM,0,-117.517391859,34.028557156
3069,S0449,SunE - Dupont Ontario,0,Not Available,San Bernardino,0.65,Unit 1,SUN,10/16/2015 12:00:00 AM,0,-117.553234853,34.0451414030001
3070,S0453,SunE - E Philadelphia Ontario,0,Not Available,San Bernardino,1.3,Unit 1,SUN,10/16/2015 12:00:00 AM,0,-117.534092799,34.0359861540001
3071,S0454,SunE - Jurupa Fontana,0,Not Available,San Bernardino,1.19,Unit 1,SUN,10/16/2015 12:00:00 AM,0,-117.519097642,34.0389520410001
