Unnamed: 0,zip_code,median_household_income,poverty_rate,pct_bachelors_plus,pct_black,pct_hispanic,pct_asian,median_housing_value,total_population,pct_single_family_units,pct_multifamily_units,pct_mobile_home_units
30624,90032,81563.0,0.142270958613371,0.2478376689578057,0.025935413045467,0.7388390815112982,0.1179672491080413,780100.0,43724,,,
30625,90033,56001.0,0.2590925141242938,0.1399758245553445,0.0140524280189084,0.8978942844864632,0.0446282767511817,669500.0,46540,,,
30626,90034,103082.0,0.0922311236100575,0.6428487039531202,0.0922169811320754,0.256277213352685,0.1810050798258345,1395000.0,55120,,,
30627,90035,108224.0,0.0775581142733,0.6802040320621812,0.0672507270834081,0.1365839646691321,0.0699795339485117,1844000.0,27851,,,
30628,90036,102877.0,0.1194628441316497,0.6826305686105779,0.0713180693069306,0.130414603960396,0.1937654702970297,1958600.0,38784,,,
30629,90037,56417.0,0.2626412849494348,0.0905518144836937,0.1470505928271595,0.7976434199867443,0.0114441416893732,632600.0,67895,,,
30630,90038,61566.0,0.1954679372931291,0.4089622641509434,0.0676807997986118,0.486640054662495,0.073830330492322,1089200.0,27807,,,
30631,90039,105578.0,0.0870717997666772,0.566332073176031,0.0182696346073078,0.3141537169256614,0.1897662046759065,1202000.0,28572,,,
30632,90040,70909.0,0.1547117945193712,0.1173731928448909,0.007446717452709,0.9423093383548746,0.0190875631259094,576900.0,11683,,,
30633,90041,111834.0,0.0972011956057606,0.5164021700552655,0.0149903111403604,0.3346129940404372,0.2519469123615224,1135200.0,27351,,,
30634,90042,94401.0,0.1058323944882572,0.4038172898138399,0.0172254216371863,0.5649252708076238,0.1336555601261483,940600.0,58344,,,
30635,90043,65496.0,0.1691604611779989,0.3078659657496694,0.5847340865252135,0.2633186369064021,0.0205290713695232,867800.0,43548,,,
30636,90044,51433.0,0.2657557697184884,0.110620976257792,0.2917931545290478,0.6719869808781648,0.005487226029898,588200.0,95859,,,
30637,90045,132577.0,0.0879672536299042,0.6395304281185773,0.0821212693615413,0.1907820173781639,0.159543823196071,1322700.0,42352,,,
30638,90046,94259.0,0.1129622021364009,0.6335205425182354,0.0523463858501175,0.163746038237399,0.0677231366935896,1411500.0,48905,,,
30639,90047,70187.0,0.1587564603306111,0.2078202574962834,0.5227098674521355,0.386980854197349,0.0072852233676975,648200.0,50925,,,
30640,90048,104227.0,0.1156526005888125,0.6924061196105702,0.0452971725331794,0.0755433737257164,0.0773225620311598,1847500.0,20796,,,
